央视,#genre#
CCTV1综合,http://t.061899.xyz/tl/dq.php?id=cctv1
CCTV2财经,http://t.061899.xyz/tl/dq.php?id=cctv2
CCTV3综艺,http://t.061899.xyz/tl/dq.php?id=cctv3
CCTV4中文国际,http://t.061899.xyz/tl/dq.php?id=cctv4
CCTV5体育,http://t.061899.xyz/tl/dq.php?id=cctv5
CCTV5+体育赛事,http://t.061899.xyz/tl/dq.php?id=cctv5p
CCTV6电影,http://t.061899.xyz/tl/dq.php?id=cctv6
CCTV7国防军事,http://t.061899.xyz/tl/dq.php?id=cctv7
CCTV8电视剧,http://t.061899.xyz/tl/dq.php?id=cctv8
CCTV9纪录,http://t.061899.xyz/tl/dq.php?id=cctv9
CCTV10科教,http://t.061899.xyz/tl/dq.php?id=cctv10
CCTV11戏曲,http://t.061899.xyz/tl/dq.php?id=cctv11
CCTV12社会与法,http://t.061899.xyz/tl/dq.php?id=cctv12
CCTV13新闻,http://t.061899.xyz/tl/dq.php?id=cctv13
CCTV14少儿,http://t.061899.xyz/tl/dq.php?id=cctv14
CCTV15音乐,http://t.061899.xyz/tl/dq.php?id=cctv15
CCTV16奥林匹克,http://t.061899.xyz/tl/dq.php?id=cctv16
CCTV17农业农村,http://t.061899.xyz/tl/dq.php?id=cctv17
CCTV4美洲,http://t.061899.xyz/tl/dq.php?id=cctv4m
CCTV4欧洲,http://t.061899.xyz/tl/dq.php?id=cctv4o
卫视,#genre#
浙江卫视,http://t.061899.xyz/tl/dq.php?id=zjws
广东卫视,http://t.061899.xyz/tl/dq.php?id=gdws
江苏卫视,http://t.061899.xyz/tl/dq.php?id=jsws
东方卫视,http://t.061899.xyz/tl/dq.php?id=dfws
陕西卫视,http://t.061899.xyz/tl/dq.php?id=sxws
江西卫视,http://t.061899.xyz/tl/dq.php?id=jxws
湖北卫视,http://t.061899.xyz/tl/dq.php?id=hubws
吉林卫视,http://t.061899.xyz/tl/dq.php?id=jlws
青海卫视,http://t.061899.xyz/tl/dq.php?id=qhws
河南卫视,http://t.061899.xyz/tl/dq.php?id=hnws
东南卫视,http://t.061899.xyz/tl/dq.php?id=dnws
海南卫视,http://t.061899.xyz/tl/dq.php?id=hinws
湖南卫视,http://t.061899.xyz/tl/dq.php?id=hunws
北京卫视,http://t.061899.xyz/tl/dq.php?id=bjws
天津卫视,http://t.061899.xyz/tl/dq.php?id=tjws
重庆卫视,http://t.061899.xyz/tl/dq.php?id=cqws
黑龙江卫视,http://t.061899.xyz/tl/dq.php?id=hljws
吉林卫视,http://t.061899.xyz/tl/dq.php?id=jlws
辽宁卫视,http://t.061899.xyz/tl/dq.php?id=lnws
内蒙古卫视,http://t.061899.xyz/tl/dq.php?id=nmgws
甘肃卫视,http://t.061899.xyz/tl/dq.php?id=gsws
河北卫视,http://t.061899.xyz/tl/dq.php?id=hbws
山西卫视,http://t.061899.xyz/tl/dq.php?id=sxiws
山东卫视,http://t.061899.xyz/tl/dq.php?id=sdws
安徽卫视,http://t.061899.xyz/tl/dq.php?id=ahws
深圳卫视,http://t.061899.xyz/tl/dq.php?id=szws
广西卫视,http://t.061899.xyz/tl/dq.php?id=gxws
云南卫视,http://t.061899.xyz/tl/dq.php?id=ynws
宁夏卫视,http://t.061899.xyz/tl/dq.php?id=nxws
贵州卫视,http://t.061899.xyz/tl/dq.php?id=gzws
四川卫视,http://t.061899.xyz/tl/dq.php?id=scws
新疆卫视,http://t.061899.xyz/tl/dq.php?id=xjws
西藏卫视,http://t.061899.xyz/tl/dq.php?id=xzws
港澳台,#genre#
凤凰中文,http://t.061899.xyz/tl/dq.php?id=fhzw
凤凰资讯,http://t.061899.xyz/tl/dq.php?id=fhzx
凤凰香港,http://t.061899.xyz/tl/dq.php?id=fhhk

